compound_name	synonyms	species	strain	dosage	avg_lifespan_change	max_lifespan_change	gender	significance	pubmed_id	Comment	pref_name	chembl_id	pubchem_cid	DrugBank_id
Juglone	5-hydroxy-1,4-naphthalenedione	Caenorhabditis elegans	N2	40µm	29	NA	NA	NA	19597959	NA	JUGLONE	CHEMBL43612	3806	NA
Kenpaullone	NA	Caenorhabditis elegans	NA	88 µM	27	NA	NA	NA	24134630	NA	KENPAULLONE	CHEMBL296586	3820	NA
Diiodomethane	Methylene iodide	Drosophila melanogaster	NA	10 µg/ml	29.3	NA	NA	NA	412727	NA	Diiodomethane	NA	6346	NA
Lithocholic acid	NA	Saccharomyces cerevisiae	BY4741	50 µM	100	NA	NA	NA	20622262	NA	LITHOCHOLIC ACID	CHEMBL1478	9903	NA
Tyrosol	NA	Caenorhabditis elegans	fer-15(b26)	250 µM	19.1	10.8	NA	NA	22824366	NA	TYROSOL	CHEMBL53566	10393	NA
Dibromoacetic acid	NA	Caenorhabditis elegans	N2	100 µm	14.6	NA	NA	NA	25556763	NA	DIBROMOACETIC ACID	CHEMBL449362	12433	NA
D-glutamate	NA	Caenorhabditis elegans	N2	10 mM	-3	NA	NA	NS	25643626	NA	D-GLUTAMATE	CHEMBL76232	23327	DB02517
Arctigenin	NA	Caenorhabditis elegans	N2	10 uM	6.7	NA	NA	NA	26141518	NA	ARCTIGENIN	CHEMBL435734	64981	NA
Sesamin	NA	Caenorhabditis elegans	N2	3.1 µg	10.5	NA	NA	NA	24549958	NA	SESAMIN	CHEMBL252915	72307	NA
Arctiin	NA	Caenorhabditis elegans	N2	10 uM	8.9	NA	NA	NA	26141518	NA	ARCTIIN	CHEMBL388452	100528	NA
Celastrol	NA	Caenorhabditis elegans	N2	7 µmol/l	17.4	NA	NA	NA	24416295	NA	CELASTROL	CHEMBL301982	122724	NA
Tetrahydrocurcumin	NA	Mus musculus	Sprague-Dawley	0.002	11.7	NA	Male	NA	15247057	NA	TETRAHYDROCURCUMIN	CHEMBL318743	124072	NA
Ketanserin tartrate	NA	Caenorhabditis elegans	NA	176 µM	13	NA	NA	NA	24134630	NA	KETANSERIN TARTRATE	CHEMBL1256709	135348	NA
Glyceollin I	NA	Saccharomyces cerevisiae	NA	12.5 nM	40	NA	NA	NA	24399048	NA	GLYCEOLLIN I	CHEMBL1774987	162807	NA
Nicotinamide riboside	NR	Saccharomyces cerevisiae	BY4741	10 µM	20	NA	NA	NS	17482543	NA	NICOTINAMIDE RIBOSIDE	CHEMBL438497	439924	NA
Tartrate	Sodium tartrate	Mytilina brevispina	NA	0.25% on alternate days	43.7	NA	NA	NA	804507	NA	TARTRATE	CHEMBL1236315	444305	NA
Sodium butyrate	NA	Drosophila melanogaster	Ra	10 mM	-9.1	NA	NA	NS	23044027	NA	SODIUM BUTYRATE	CHEMBL62381	5222465	NA
Baicalein	5,6,7-trihydroxyflavone	Caenorhabditis elegans	N2	0.001	36.7	52	NA	NA	22114686	NA	BAICALEIN	CHEMBL8260	5281605	NA
Tamarixetin	NA	Caenorhabditis elegans	NA	NA	28	NA	NA	NA	16872777	NA	TAMARIXETIN	CHEMBL226034	5281699	NA
Rosmarinic acid	NA	Caenorhabditis elegans	N2	200 µM	10	NA	NA	NA	21503726	NA	ROSMARINIC ACID	CHEMBL324842	5281792	NA
Piericidin A	NA	Caenorhabditis elegans	N2	100 nM	5	NA	NA	NA	24199155	NA	PIERICIDIN A	CHEMBL272733	6437838	NA
Myriocin	NA	Saccharomyces cerevisiae	BY4741	600 ng/ml	NA	NA	NA	NA	23725375	NA	MYRIOCIN	CHEMBL55076	6438394	NA
Naftopidil dihydrochloride	NA	Caenorhabditis elegans	NA	33 µM	14	NA	NA	NA	24134630	NA	NAFTOPIDIL DIHYDROCHLORIDE	CHEMBL1257069	6603044	NA
Verminoside	NA	Caenorhabditis elegans	N2	50 uM	8.5	NA	NA	NA	26189547	NA	VERMINOSIDE	CHEMBL462888	11948660	NA
Fucoxanthin	NA	Caenorhabditis elegans	N2	5 µM	14	24	NA	NA	26292053	NA	FUCOXANTHIN	CHEMBL1773903	54585187	NA
Thioflavin T	(4-(3,6-dimethyl-1,3-benzothiazol-3-ium-2- yl)-N,N-dimethylaniline chloride)	Caenorhabditis elegans	N2	50-100µM	60	78	NA	NA	21451522	NA	THIOFLAVIN T	CHEMBL224392	16953, 622721	NA
Propionylpromazine hydrochloride	NA	Caenorhabditis elegans	NA	33 µM	20	NA	NA	NA	24134630	NA	PROPIONYLPROMAZINE HYDROCHLORIDE	CHEMBL1256661	50986740, 24351	NA
Amperozide hydrochloride	NA	Caenorhabditis elegans	NA	13 µM	38	NA	NA	NA	24134630	NA	AMPEROZIDE HYDROCHLORIDE	CHEMBL1257106	73334, 50986842	NA
Polypeptide Pineal extract	PPE	Rattus norvegicus	NA	0.5 mg, 5 times a week	25	NA	Female	NA	575333	Mix	Organ extract, not a compound	NA	NA	NA
Thiazolidine carboxylic acid	TCA	Drosophila melanogaster	Oregon R	0.3% wt/vol	31	NA	NA	NA	6821144	NA	NA	CHEMBL3245365	NA	NA
Black tea extract	NA	Drosophila melanogaster	Oregon R	Instead of water	20.2	NA	Male	NA	8326745	Mix	NA	NA	NA	NA
Tea (Camellia sinensis) extract	NA	Drosophila melanogaster	Oregon R	Instead of water	15.7	NA	Male	NA	8326745	Mix	NA	NA	NA	NA
Butylated hydroxyanisole	BHA	Zaprionus paravittiger	NA	100 mM	-63.8	-53.7	Male	NA	9207858	NA	BUTYLATED HYDROXYANISOLE	CHEMBL192451, CHEMBL502074	8456	NA
Epithalamin	Pineal peptide Preparation	Mus musculus	C3H/Sn	NA	31	NA	NA	NA	9701766	NA	NA	NA	219042	NA
Rhodiola rosea extract	NA	Drosophila melanogaster	NA	30 mg/mL every other day	NA	42.9	Male	NA	9825229	Mix	NA	NA	NA	NA
EUK-134	NA	Caenorhabditis elegans	N2	0.05 mM	29	NA	NA	NA	10968795	NA	NA	NA	9823233	NA
Epitalon	Ala-Glu-Asp-Gly	Drosophila melanogaster	Canton S	5*10^-6 %	3.2	NA	Female	NS	11087911	NA	NA	NA	219042	NA
L-Glu-L-Trp dipeptide	NA	Rattus norvegicus	NA	5 µg/rat. 5 times a week	0	10.4	Female	NA	11707921	Peptide	NA	NA	NA	NA
Green tea polyphenols	NA	Mus musculus	Sprague-Dawley	80 mg/L	6.4	NA	Male	NA	15247057	Mix	NA	NA	NA	NA
3,3'-thiodipropionic acid	TDPA	Asplanchna brightwelli	clone 4B61	2 mM	10	0	NA	NA	15374519	NA	NA	CHEMBL1569439	NA	NA
3,3-diethyl-2-pyrrolidinone	DEABL	Caenorhabditis elegans	N2	2 mg/ml	31	49	NA	NA	15653505	NA	NA	CHEMBL293075	NA	NA
Dauer-inducing Pheromone	NA	Caenorhabditis elegans	N2	5% in food	13.3	NA	NA	NA	16377915	NA	NA	NA	11471380	NA
3,5-dihydroxy-4Í-thiomethyl-trans-stilbene	3,5-hydroxy-4Í-thiomethyl-stilbene	Saccharomyces cerevisiae	PSY316AT_	10 µM	22.7	NA	NA	NA	17156081	ID's Not Found	NA	NA	NA	NA
Epigallocatechin-3-gallate	EGCG	Caenorhabditis elegans	N2	25 µM	4.8	4.8	NA	NS	17156833	NA	NA	CHEMBL297453	NA	DB12116
Gamma-tocopherol	NA	Caenorhabditis elegans	fem-1(hc17)	20 ug/ml	17	NA	NA	NA	17169403	NA	NA	CHEMBL2151591	NA	NA
4-dafachronic acid	NA	Caenorhabditis elegans	N2	250 nM	0	2.6	NA	NA	17360327	NA	NA	CHEMBL1232254, CHEMBL2387006	42628074, 16734910	NA
Rhodiola rosea	NA	Drosophila melanogaster	NA	30 mg/mL	11.9	NA	Female	NA	17990971	Mix	NA	NA	NA	NA
Hydrogen Sulphide	NA	Caenorhabditis elegans	N2	50ppm	74	NA	NA	NA	18077331	NA	NA	CHEMBL1200739	NA	NA
Acticoa powder	Cocoa polyphenolic extract	Rattus norvegicus	Wistar-Unilever	24 mg/5 ml/kg	11	NA	NA	NA	18179729	Mix	NA	NA	NA	NA
FCCP	Carbonyl cyanide-4-(trifluoromethoxy)phenylhydrazone	Caenorhabditis elegans	N2	NA	28	21.4	NA	NA	18221415	NA	NA	CHEMBL457504	NA	NA
Rhodiola rosea root extract	NA	Caenorhabditis elegans	N2	10 µg/ml	15	NA	NA	NA	18536978	Mix	NA	NA	NA	NA
SkQ1	10-(6'-plastoquinonyl) decyltriphenylphosphonium	Drosophila melanogaster	NA	20pM-20nM	114	NA	Female	NA	19120018	NA	NA	NA	16679091	NA
Pine Bark extract	NA	Caenorhabditis elegans	N2	10 µg/mL	NA	5.2	NA	NA	19350411	Mix	NA	NA	NA	NA
Psoralea corylifolia extract	NA	Caenorhabditis elegans	N2	10 µg/mL	NA	9.8	NA	NA	19350411	Mix	NA	NA	NA	NA
Carbonylcyanide-3-chlorophenylhydrazone	CCCP	Caenorhabditis elegans	N2	10µm	60	NA	NA	NA	19442682	NA	NA	CHEMBL224214	2603	NA
Black tea extract	NA	Drosophila melanogaster	NA	10 mg/ml	10	NA	NA	NA	19770032	Mix	NA	NA	NA	NA
Reishi polysaccharide	Ganoderma lucidum polysaccharide	Caenorhabditis elegans	N2	100 ppm	35	NA	NA	NA	19837596	Mix	NA	NA	NA	NA
SQDB	Shi Quan Da Bu Tang Herbal Formula	Caenorhabditis elegans	N2	100 µg/ml	12	NA	NA	NA	20179756	Mix	NA	NA	NA	NA
VI-28	NA	Mus musculus	C57BL/6J	0.005	7.2	NA	Female	NS	20370440	Mix	NA	NA	NA	NA
Indolepropionamide	IPAM	Philodina acuticornis	odiosa	10 µM	137.8	NA	NA	NA	20421998	NA	NA	NA	21703095	NA
Phaseolus vulgaris Extract	NA	Caenorhabditis elegans	N2	150 µg / mL	13.2	NA	NA	NA	20455573	Mix	NA	NA	NA	NA
Marine collagen peptides	MCPs	Rattus norvegicus	Sprague-Dawley	0.09	11	13	NA	NA	20553190	Mix	NA	NA	NA	NA
S,S-trolox-carnosine	STC	Drosophila melanogaster	NA	50 mg/L	16	NA	Male	NA	20681748	NA	NA	NA	129843828	NA
Procyanidins	NA	Caenorhabditis elegans	N2	65 µg/ml	12.1	NA	NA	NA	20717869	NA	NA	NA	107876	NA
Stachys lavandulifolia ethanol extract	NA	Drosophila melanogaster	Oregon R	4 ul/100 ml media	12.4	6.4	Male	NA	20738162	Mix	NA	NA	NA	NA
Stachys lavandulifolia water extract	NA	Drosophila melanogaster	Oregon R	12 ul/100 ml media	21.9	8	Female	NA	20738162	Mix	NA	NA	NA	NA
Diallyl trisulfide	DATS	Caenorhabditis elegans	TJ1060	10 µM	13	NA	NA	NA	21296648	NA	NA	CHEMBL123040	NA	NA
Oregano and Cranberry extracts	NA	Anastrepha ludens	Loew	0.02	43	NA	NA	NA	21455602	Mix	NA	NA	NA	NA
Caffeic acid	NA	Caenorhabditis elegans	N2	300 µM	11	NA	NA	NA	21503726	NA	NA	CHEMBL145	NA	DB01880
Q3'G	quercetin 3'-O-beta-D-glucopyranoside	Caenorhabditis elegans	N2	21 µg/mL	12	NA	NA	NA	21563825	NA	NA	CHEMBL250450	5280804	DB12665
Q3M	3-O-beta-D-glucopyranoside-(4-1)-beta-D-glucopyranoside	Caenorhabditis elegans	N2	20 µg/mL	20	NA	NA	NA	21563825	Mix	NA	NA	NA	NA
Oxoline	NA	Caenorhabditis elegans	N2	1 mM	13	18	NA	NA	21765926	NA	NA	NA	169137	NA
Protease treated royal jelly	Royalactin	Caenorhabditis elegans	N2	10 µg/ml	18	44	NA	NA	21858156	Mix	NA	NA	NA	NA
Astragalus membranaceus polysaccharide	Astragalan	Caenorhabditis elegans	N2	1-2.5 mg/ml	23.8	NA	NA	NA	21892924	Mix	NA	NA	NA	NA
Rosa damascena extract	NA	Drosophila melanogaster	B	NA	22.4	12.7	Male	NA	21928072	Mix	NA	NA	NA	NA
Dafadine-A	NA	Caenorhabditis elegans	N2	50 µM	29	NA	NA	NA	22057127	NA	NA	CHEMBL1585869	NA	NA
SB203580	NA	Drosophila melanogaster	Oregon R	300 µM	30.3	NA	NA	NA	22363408	NA	NA	CHEMBL10	NA	NA
HA-1004	NA	Drosophila melanogaster	Oregon R	1-10 µM	18	NA	NA	NA	22363408	NA	NA	CHEMBL143054	NA	NA
Erbstatin analog	NA	Drosophila melanogaster	Oregon R	5 mM	18	NA	NA	NA	22363408	NA	NA	CHEMBL17329	NA	NA
PD-98059	NA	Drosophila melanogaster	Oregon R	300-1000 µM	27	NA	NA	NA	22363408	NA	NA	CHEMBL35482	NA	NA
PP2 AG1879	NA	Drosophila melanogaster	Oregon R	300 µM	22.8	NA	NA	NA	22363408	NA	NA	CHEMBL406845	NA	NA
Tyrphostin AG 1295	NA	Drosophila melanogaster	Oregon R	300-500 µM	22.5	NA	NA	NA	22363408	NA	NA	CHEMBL7724	2048	NA
Tyrphostin AG 1478	NA	Drosophila melanogaster	Oregon R	100 µM	19.5	NA	NA	NA	22363408	NA	NA	CHEMBL7917	2051	NA
Damnacanthus officinarum leaf extract	NA	Caenorhabditis elegans	N2	1200 µg/mL	18.6	NA	NA	NA	22370553	Mix	NA	NA	NA	NA
Medium-chain triglyceride oil	NA	Mus musculus	UM-HET3	60000mg/kg of diet	-1.1	NA	Male	NS	22451473	Mix	NA	NA	NA	NA
1,2,4-triazolo[1,5-a]pyridine	NA	Caenorhabditis elegans	N2	500 nM	12	NA	NA	NA	22509764	NA	NA	NA	67508	NA
HuminFeed	NA	Caenorhabditis elegans	N2	400 µM	12.5	NA	NA	NA	22529848	Mix	NA	NA	NA	NA
D-chiro-inositol	NA	Drosophila melanogaster	Canton S	NA	16.6	NA	Male	NA	22843669	NA	NA	CHEMBL1222251, CHEMBL1231671, CHEMBL1950780, CHEMBL3976780	892	DB03106, DB13178
Cynomorium songaricum Rupr.	Suoyang	Drosophila melanogaster	Canton S	10 mg/ml	1.5	NA	Male	NS	22844336	Mix	NA	NA	NA	NA
Black rice extract	NA	Drosophila melanogaster	Oregon R	30 mg/ml	14	NA	NA	NA	22930061	Mix	NA	NA	NA	NA
Apple flesh	NA	Saccharomyces cerevisiae	MCY4/KlLSM4::kanMX4	1 gr	7	NA	NA	NS	22970337	Mix	NA	NA	NA	NA
4-hydroxy-E-globularinin	NA	Caenorhabditis elegans	N2	200 uM	6.4	NA	NA	NA	23000058	ID's Not Found	NA	NA	NA	NA
Nolinospiroside F	NA	Saccharomyces cerevisiae	K6001	10 µM	21.3	NA	NA	NA	23439553	NA	NA	NA	21630160	NA
Malate	NA	Caenorhabditis elegans	N2	10 mM	14	NA	NA	NA	23472183	NA	NA	CHEMBL1455497	NA	DB12751
Ascr#2	hydroxy ketone ascaroside	Caenorhabditis elegans	N2	400 nM	14	NA	NA	NA	23509272	NA	NA	CHEMBL1221888	16066475	NA
Arsenite	NA	Caenorhabditis elegans	N2	100 nM	10	NA	NA	NA	23534459	NA	NA	CHEMBL1231071	NA	NA
Ethidium bromide	NA	Caenorhabditis elegans	N2	5 µg/ml	30.1	NA	NA	NA	23698443	NA	NA	CHEMBL284328	NA	NA
GYY4137	NA	Caenorhabditis elegans	N2	100 µM	0.4	NA	NA	NA	24093496	NA	NA	CHEMBL2158901	NA	NA
Acanthophora spicifera extract	Red Algae extract	Brachionus manjavacas	NA	5 µg/ml	14	NA	NA	NA	24120568	Mix	NA	NA	NA	NA
Peyssonnelia sp. extract	Red Algae extract	Brachionus manjavacas	NA	2 µg/ml	8.5	NA	NA	NA	24120568	Mix	NA	NA	NA	NA
LY-165,163	PAPP	Caenorhabditis elegans	NA	33 µM	33	NA	NA	NA	24134630	NA	NA	CHEMBL1256693	NA	NA
Doxycycline hydrochloride	NA	Caenorhabditis elegans	NA	33 µM	18	NA	NA	NA	24134630	NA	DOXYCYCLINE HYDROCHLORIDE	CHEMBL1256723	54685920	DBSALT000897
Psora-4	NA	Caenorhabditis elegans	NA	88 µM	42	NA	NA	NA	24134630	NA	NA	CHEMBL1256851	NA	NA
Trequinsin hydrochloride	NA	Caenorhabditis elegans	NA	88µM	27	NA	NA	NA	24134630	NA	TREQUINSIN HYDROCHLORIDE	CHEMBL1256910	3060974	NA
Cortexolone maleate	NA	Caenorhabditis elegans	NA	33µM	11	NA	NA	NA	24134630	NA	NA	CHEMBL1554717	NA	NA
AMN082	NA	Caenorhabditis elegans	NA	33 µM	8	NA	NA	NA	24134630	NA	NA	CHEMBL1613220	NA	NA
LFM-A13	NA	Caenorhabditis elegans	NA	88 µM	27	NA	NA	NA	24134630	NA	NA	CHEMBL228043	NA	NA
4-phenyl-3-furoxancarbonitrile	NA	Caenorhabditis elegans	NA	88 µM	30	NA	NA	NA	24134630	NA	NA	CHEMBL336467	NA	NA
Cis-(Z)-Flupenthixol dihydrochloride	NA	Caenorhabditis elegans	NA	33 µM	30	NA	NA	NA	24134630	NA	NA	CHEMBL54661	NA	NA
Dihydroergocristine methanesulfonate	NA	Caenorhabditis elegans	NA	176 µM	34	NA	NA	NA	24134630	NA	NA	CHEMBL601773	NA	NA
Octoclothepin maleate	(+/-)-Octoclothepin maleate	Caenorhabditis elegans	NA	13 µM	38	NA	NA	NA	24134630	NA	NA	CHEMBL64249	NA	NA
(R,R)-cis-Diethyl tetrahydro-2,8-chrysenediol	NA	Caenorhabditis elegans	NA	33 µM	7	NA	NA	NA	24134630	NA	NA	CHEMBL282489	446849	NA
BRL 50481	NA	Caenorhabditis elegans	NA	176 µM	18	NA	NA	NA	24134630	NA	NA	CHEMBL484928	2921148	NA
Hexahydro-sila-diphenidol	NA	Caenorhabditis elegans	NA	88 µM	15	NA	NA	NA	24134630	NA	NA	CHEMBL3545990	3602	NA
N-(2-[4-(4-chlorophenyl)piperazin-1-yl]ethyl)-3-methoxybenzamide	NA	Caenorhabditis elegans	NA	33 µM	35	NA	NA	NA	24134630	NA	NA	CHEMBL93403	3626837	NA
MPTP	NA	Caenorhabditis elegans	N2	10 nM	8	NA	Hermaphrodite	NA	24199155	NA	NA	CHEMBL24172	NA	NA
Korean red ginseng tonic	Panax ginseng	Drosophila melanogaster	w1118	12 µg/ml	13.5	NA	Female	NA	24265871	Mix	NA	NA	NA	NA
AU701	Apple pectine AU701	Drosophila melanogaster	Canton S	0.30%	1.2	NA	Male	NS	24305778	Mix	NA	NA	NA	NA
CU701	Citrus pectine CU703	Drosophila melanogaster	Canton S	0.30%	0	NA	Male	NS	24305778	Mix	NA	NA	NA	NA
Ludwigia octovalvis extract	NA	Drosophila melanogaster	Canton S	100 µg/ml	16.1	NA	Male	NA	24338263	Mix	NA	NA	NA	NA
Cranberry extract	NA	Caenorhabditis elegans	N2	2 mg/ml	12.8	NA	NA	NA	24566444	Mix	NA	NA	NA	NA
Shiquan dabu wan	SQ	Caenorhabditis elegans	N2	6.2 g/L	14.5	NA	NA	NA	24952637	Mix	NA	NA	NA	NA
Caffeic acid phenethylester	CAPE	Caenorhabditis elegans	NA	NA	9	17	NA	NA	24964141	NA	NA	CHEMBL319244	5281787	NA
Amla juice	Emblicaæofficinalis	Drosophila melanogaster	NA	20 ml	5.9	NA	NA	NA	24967413	Mix	NA	NA	NA	NA
Astragalus polysaccharide	NA	Caenorhabditis elegans	N2	50 µg/ml	7	NA	NA	NA	25186652	Mix	NA	NA	NA	NA
Bis(1-hydroxy-2,2,6,6-tetramethyl-4-piperidinyl)-decandioate	IAC	Aeolosoma viride	NA	2.5 uM	98.6	NA	NA	NA	25190068	NA	NA	NA	11272241	NA
Mulberry leaf polyphenols	NA	Caenorhabditis elegans	N2	25 mg/mL	22.5	NA	NA	NA	25323576	Mix	NA	NA	NA	NA
Acanthopanax sessiliflorus stem extract	NA	Caenorhabditis elegans	N2	500 mg/L	18	20	NA	NA	25324932	Mix	NA	NA	NA	NA
Royalactin	NA	Caenorhabditis elegans	N2	0.04 ug/ml	26.8	NA	NA	NA	25456847	Mix	NA	NA	NA	NA
Cinnamon Extract	NA	Drosophila melanogaster	w1118	75 mg/ml	37	NA	Female	NA	25456850	Mix	NA	NA	NA	NA
Proanthocyanidins from Kunlun Chrysanthemum flowers	NA	Drosophila melanogaster	Oregon R+	NA	15.5	10.4	Female	NA	25628774	Mix	NA	NA	NA	NA
N-acetyl-l-histidine	NA	Caenorhabditis elegans	N2	100 µM	3	NA	NA	NS	25643626	NA	NA	CHEMBL3251664	NA	NA
Caprylate	NA	Caenorhabditis elegans	N2	100 µM	1	NA	NA	NS	25643626	NA	NA	NA	119389	NA
DL-isocitrate	NA	Caenorhabditis elegans	N2	10 mM	-28	NA	NA	NA	25643626	NA	NA	NA	1198	NA
Ribose	NA	Caenorhabditis elegans	N2	1 mM	9	NA	NA	NA	25643626	NA	NA	CHEMBL1159662	10975657	NA
10-hydroxy-2-decenoic Acid	NA	Caenorhabditis elegans	N2	25 µM	10	14	NA	NA	25789174	NA	NA	NA	5312738	NA
Garlic extract	Allium sativum	Caenorhabditis elegans	N2	50 ppm	21	NA	NA	NA	25940980	Mix	NA	NA	NA	NA
Soybean trypsin inhibitor	NA	Caenorhabditis elegans	N2	5 uM	8.7	NA	NA	NA	25959406	Peptide	NA	NA	NA	NA
Dehydroabietic acid	NA	Caenorhabditis elegans	N2	50 µM	4.8	8.3	NA	NS	25976661	NA	NA	CHEMBL12850	NA	NA
Beta-Guanidinopropionic acid	NA	Drosophila melanogaster	w1118	900 mM	9.1	NA	Male	NA	26120775	NA	NA	CHEMBL20489	NA	NA
(Iso)lappaol A	NA	Caenorhabditis elegans	N2	100 uM	11.2	NA	NA	NA	26141518	NA	NA	NA	102232211	NA
Lappaol C	NA	Caenorhabditis elegans	N2	10 uM	11.3	NA	NA	NA	26141518	NA	NA	NA	323896	NA
Lappaol F	NA	Caenorhabditis elegans	N2	100 uM	12.5	NA	NA	NA	26141518	NA	NA	NA	73425459	NA
(R)-2-hydroxyglutarate	NA	Caenorhabditis elegans	NA	8 mM	42.9	NA	NA	NA	26190651	NA	NA	CHEMBL1614745	NA	NA
